agendor_id,titulo,clickup_id,produto_agendor,fabricante_agendor,distribuidor_esperado,produto_supabase,fabricante_supabase,distribuidor_supabase,valor_agendor,valor_supabase,servico_prioridade,tipo_divergencia
41915891,Unimed São Carlos - Estudo Expansão Ambiente VMware e Oracle,86agcey6v,STORAGE DELL EMC,DELL EMC,Ingram Micro,STORAGE DELL EMC,DELL ,Ingram Micro,578941.28,578941.28,False,FABRICANTE
41915891,Unimed São Carlos - Estudo Expansão Ambiente VMware e Oracle,86agcey6v,UPGRADE STORAGE,4SERVERS,4Server,UPGRADE STORAGE,BROKER,4Server,354337.78,354337.78,False,FABRICANTE
41915891,Unimed São Carlos - Estudo Expansão Ambiente VMware e Oracle,86agcey6v,SUPRIMATICA SERVIÇOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SUPRIMATICA SERVIÇOS,SUPRIMATICA,Suprimatica,60555.56,60555.56,True,FABRICANTE
41915891,Unimed São Carlos - Estudo Expansão Ambiente VMware e Oracle,86agcey6v,POS GARANTIA DELL EMC,DELL EMC,Ingram Micro,POS GARANTIA DELL EMC,DELL,Ingram Micro,84732.39,84732.39,False,FABRICANTE
41915891,Unimed São Carlos - Estudo Expansão Ambiente VMware e Oracle,86agcey6v,PARK PLACE - GARANTIA,PARK PLACE,Park Place,(AUSENTE),,,70000.0,,False,PRODUTO_AUSENTE_NO_SUPABASE
41915891,Unimed São Carlos - Estudo Expansão Ambiente VMware e Oracle,86agcey6v,(NÃO EXISTE NO AGENDOR),,,SUPORTE POS  GARANTIA,PARK PLACE ,Ingram Micro,,70000.0,,PRODUTO_EXTRA_NO_SUPABASE
42423278,Unimed São Carlos | Licenciamento VMware para o site A,86ahkr143,VMWARE OPEN,VMWARE,TD Synnex,VMWARE OPEN,BROADCOM,TD Synnex,161803.85,161803.85,False,FABRICANTE
39249628,QUATA - ELP (GARANTIAS) - Veeam - Dell - Park Place,86ajxx3hf,PARK PLACE - GARANTIA,PARK PLACE,Park Place,(AUSENTE),,,118032.43,,False,PRODUTO_AUSENTE_NO_SUPABASE
39249628,QUATA - ELP (GARANTIAS) - Veeam - Dell - Park Place,86ajxx3hf,POS GARANTIA DELL EMC,DELL EMC,Ingram Micro,POS GARANTIA DELL EMC,DELL,Ingram Micro,101528.12,101528.12,False,FABRICANTE
39249628,QUATA - ELP (GARANTIAS) - Veeam - Dell - Park Place,86ajxx3hf,(NÃO EXISTE NO AGENDOR),,,SUPORTE POS  GARANTIA,PARK PLACE ,Ingram Micro,,118032.43,,PRODUTO_EXTRA_NO_SUPABASE
33145291,SERILON | BACKUP VEEAM | FILE SERVER E ZIMBRA,86ajxx3jj,SUPRIMATICA SERVIÇOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SUPRIMATICA SERVIÇOS,SUPRIMATICA,Suprimatica,8000.0,8000.0,True,FABRICANTE
29473401,UNIMED ASSIS - FORTINET,86ajxx3nm,SUPRIMATICA SERVIÇOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SUPRIMATICA SERVIÇOS,SUPRIMATICA,Suprimatica,42500.0,42500.0,True,FABRICANTE
41530000,UNIMED COP (GARANTIAS),86ajxx3p9,MICROSOFT,MICROSOFT,Ingram Micro,LICENCIAMENTO MICROSOFT,MICROSOFT,Ingram Micro,42674.93,42674.93,False,NOME_PRODUTO
42504077,ZILOR - VMWARE (RENOVAÇAÕ 26),86ajxx3rf,VMWARE OPEN,VMWARE,TD Synnex,VMWARE OPEN,BROADCOM,TD Synnex,199949.37,199949.37,False,FABRICANTE
38809187,FRIGOL | ESTUDO DE INFRA PARA NOVA UNIDADE,86ajxx3t8,SUPRIMATICA SERVIÇOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SUPRIMATICA SERVIÇOS,SUPRIMATICA,Suprimatica,18000.0,18000.0,True,FABRICANTE
