Agendor Deal ID;Titulo;Empresa;Valor
29877591;EXTREMAMEDIC | DISCOS SERVIDOR T350 | DELL;EXTREMAMEDIC PLANOS DE SAUDE;15005.38
29609811;TMG | SERVIÇO WINDOWS SERVER | SUPRIMATICA;TMG TROPICAL MELHORAMENTO E GENETICA S.A.;37500.0
29547661;TMG | SERVIÇO FITAS LTO | SUPRIMATICA;TMG - UNIDADE DE RONDONÓPOLIS;8000.0
